Index,What degree did you receive at GSAPP?,In what year did you graduate from GSAPP?,How many years of professional experience did you have before attending GSAPP?,Did you do any summer internships while you attended GSAPP?,How long after graduating from GSAPP did you start working?
195,MS.UP,2011,None,1,Between 3 and 6 months
196,M.Arch,2013,Less than 1,1,Less than 1 month
197,MS.RED,2010,More than 3,None,More than 1 year
198,Other,2013,None,1,Between 3 and 6 months
199,M.Arch,2013,None,None,Between 1 and 3 months
200,MS.UP,2013,More than 3,1,Between 1 and 3 months
201,M.Arch,2013,Less than 1,1,Between 3 and 6 months
202,M.Arch,2011,None,2,Less than 1 month
203,M.Arch,2011,Less than 1,1,Between 6 months and 1 year
204,MS.AAD,2012,Between 1 and 3,None,Between 1 and 3 months
205,MS.AAD,2012,Less than 1,None,Less than 1 month
206,MS.UP,2012,Between 1 and 3,1,Less than 1 month
207,M.Arch,2013,Between 1 and 3,2,Less than 1 month
208,M.Arch,2011,More than 3,2,Less than 1 month
209,M.Arch,2013,Between 1 and 3,1,Less than 1 month
210,M.Arch,2013,Less than 1,2,Between 1 and 3 months
211,M.Arch,2012,None,None,Between 3 and 6 months
212,MS.AUD,2012,None,None,Between 3 and 6 months
213,MS.AUD,2013,Less than 1,2,Less than 1 month
214,M.Arch,2013,Between 1 and 3,None,Less than 1 month
215,M.Arch,2011,Between 1 and 3,1,Between 6 months and 1 year
216,MS.AAD,2013,Between 1 and 3,None,Between 3 and 6 months
217,MS.HP,2010,None,1,Between 6 months and 1 year
218,MS.AUD,2009,Less than 1,None,More than 1 year
219,M.Arch,2011,Less than 1,None,Between 3 and 6 months
220,M.Arch,2013,None,2,Between 3 and 6 months
221,MS.AAD,2013,More than 3,None,Less than 1 month
222,MS.UP,2013,None,1,Between 3 and 6 months
223,MS.AAD,2013,Between 1 and 3,None,Between 1 and 3 months
224,MS.HP,2012,None,2,Between 6 months and 1 year
225,MS.AAD,2011,Between 1 and 3,None,Between 3 and 6 months
226,MS.AAD,2011,Less than 1,None,Less than 1 month
227,MS.UP,2011,Less than 1,1,Less than 1 month
228,MS.AAD,2009,Between 1 and 3,None,Between 6 months and 1 year
229,MS.AAD,2009,Between 1 and 3,None,Between 3 and 6 months
230,M.Arch,2013,Between 1 and 3,2,Between 3 and 6 months
231,MS.AUD,2011,More than 3,None,Between 3 and 6 months
232,M.Arch,2013,Between 1 and 3,2,Between 3 and 6 months
233,MS.AAD,2012,More than 3,None,Less than 1 month
234,MS.RED,2013,Between 1 and 3,None,Between 1 and 3 months
235,MS.AAD,2013,Between 1 and 3,None,Between 1 and 3 months
236,MS.AAD,2012,More than 3,None,Between 1 and 3 months
237,M.Arch,2012,Between 1 and 3,2,Less than 1 month
238,MS.AAD,2012,Less than 1,None,Between 1 and 3 months
239,MS.AAD,2011,More than 3,None,Between 1 and 3 months
240,M.Arch,2011,Less than 1,None,Less than 1 month
241,M.Arch,2011,Less than 1,2,Less than 1 month
242,MS.HP,2013,Less than 1,1,Between 1 and 3 months
